date,time,pick,conf,value,away,home,away_runs,home_runs,away_wp,home_wp,away_ml,home_ml,away_sp,home_sp,model_mode,away_vector_run_delta,home_vector_run_delta,away_vector_xwoba,home_vector_xwoba,vector_edge,vector_xwoba_edge,vector_gate,result,game_pk,model_version
2026-06-03,8:10 PM ET,PIT,8,8,PIT,HOU,8.1,6.3,59.8,40.2,-155,+129,Paul Skenes,Spencer Arrighetti,,,,,,,,,,,
2026-06-03,9:40 PM ET,LAD,10,10,LAD,AZ,11.2,5.3,78.2,21.8,-207,+171,Shohei Ohtani,Zac Gallen,,,,,,,,,,,
2026-06-04,2:10 PM ET,MIL,10,10,SF,MIL,8.5,11.0,36.9,63.1,+165,-200,Adrian Houser,Coleman Crow,,,,,,,,,,,
2026-06-04,8:05 PM ET,ATH,8,8,ATH,CHC,6.7,5.2,59.9,40.1,+120,-145,J.T. Ginn,Shota Imanaga,,,,,,,,,,,
2026-06-04,9:40 PM ET,AZ,9,9,LAD,AZ,7.7,9.8,37.6,62.4,-137,+115,Justin Wrobleski,Ryne Nelson,,,,,,,,,,,
2026-06-05,2:20 PM ET,CHC,9,9,SF,CHC,6.1,7.9,36.9,63.1,+153,-185,Robbie Ray,Edward Cabrera,,,,,,,,,,,
2026-06-05,7:05 PM ET,NYY,9,9,BOS,NYY,4.4,6.4,32.0,68.0,+120,-144,Sonny Gray,Ryan Weathers,,,,,,,,,,,
2026-06-05,7:07 PM ET,TOR,9,9,BAL,TOR,5.6,8.0,32.7,67.3,+122,-146,Brandon Young,Trey Yesavage,,,,,,,,,,,
2026-06-05,7:15 PM ET,ATL,10,10,PIT,ATL,5.2,7.8,30.8,69.2,+124,-149,Mitch Keller,Martín Pérez,,,,,,,,,,,
2026-06-05,8:15 PM ET,CLE,10,10,CLE,TEX,9.7,4.2,80.7,19.3,-125,+105,Parker Messick,Kumar Rocker,,,,,,,,,,,
2026-06-05,9:40 PM ET,NYM,8,8,NYM,SD,5.9,4.2,63.6,36.4,+109,-130,Christian Scott,Michael King,,,,,,,,,,,
2026-06-06,10:10 PM ET,NYM,9,9,NYM,SD,7.9,5.0,68.3,31.7,-125,+105,Nolan McLean,Griffin Canning,,,,,,,,,,,
2026-06-06,1:10 PM ET,SEA,10,10,SEA,DET,8.3,4.7,72.4,27.6,-127,+107,Bryce Miller,Keider Montero,,,,,,,,,,,
2026-06-06,2:20 PM ET,CHC,10,10,SF,CHC,5.6,10.1,23.9,76.1,+125,-150,Landen Roupp,Ben Brown,,,,,,,,,,,
2026-06-06,3:07 PM ET,TOR,9,9,BAL,TOR,5.2,7.3,33.5,66.5,-102,-118,Kyle Bradish,Braydon Fisher,,,,,,,,,,,
2026-06-06,4:10 PM ET,ATL,9,9,PIT,ATL,4.3,6.5,30.4,69.6,-105,-115,Braxton Ashcraft,Spencer Strider,,,,,,,,,,,
2026-06-06,4:10 PM ET,TB,8,8,TB,MIA,6.0,4.4,62.3,37.7,-133,+110,Shane McClanahan,Lake Bachar,,,,,,,,,,,
2026-06-06,7:35 PM ET,NYY,10,10,BOS,NYY,4.0,10.0,14.3,85.7,-101,-116,Ranger Suarez,Will Warren,,,,,,,,,,,
2026-06-07,1:35 PM ET,NYY,10,10,BOS,NYY,4.2,10.0,15.5,84.5,+125,-154,Ranger Suarez,Cam Schlittler,,,,,,,,,,,
2026-06-07,1:35 PM ET,CWS,8,8,CWS,PHI,9.3,7.6,57.6,42.4,+140,-170,Tyler Gilbert,Aaron Nola,,,,,,,,,,,
2026-06-07,1:35 PM ET,PIT,10,10,PIT,ATL,7.9,5.4,65.2,34.8,+127,-155,Mason Montgomery,Bryce Elder,,,,,,,,,,,
2026-06-07,1:40 PM ET,MIA,9,9,TB,MIA,6.0,8.2,34.6,65.4,-112,-110,Griffin Jax,Sandy Alcantara,,,,,,,,,,,
2026-06-07,2:10 PM ET,ATH,9,9,ATH,HOU,8.8,6.3,63.3,36.7,-110,-110,Gage Jump,Mike Burrows,,,,,,,,,,,
2026-06-07,4:10 PM ET,NYM,9,9,NYM,SD,5.8,3.9,65.9,34.1,-110,-110,Huascar Brazobán,Randy Vásquez,,,,,,,,,,,
2026-06-08,10:05 PM ET,MIL,9,9,MIL,ATH,6.7,4.0,70.5,29.5,-155,+129,Kyle Harrison,Jeffrey Springs,,,,,,,,,,,
2026-06-08,6:35 PM ET,SEA,10,10,SEA,BAL,9.8,4.6,78.5,21.5,-125,+105,Emerson Hancock,Trey Gibson,,,,,,,,,,,
2026-06-08,6:40 PM ET,BOS,9,9,BOS,TB,7.2,5.2,63.0,37.0,-115,-105,Connelly Early,Ian Seymour,,,,,,,,,,,
2026-06-08,9:45 PM ET,WSH,8,8,WSH,SF,8.2,6.4,59.6,40.4,+125,-155,Richard Lovelady,Logan Webb,,,,,,,,,,,
2026-06-09,6:35 PM ET,SEA,8,8,SEA,BAL,6.5,4.8,62.0,38.0,-124,+104,Logan Gilbert,Trevor Rogers,,,,,,,,,,,
2026-06-09,6:40 PM ET,MIN,9,9,MIN,DET,8.0,5.7,63.5,36.5,+110,-132,Taj Bradley,Troy Melton,,,,,,,,,,,
2026-06-09,7:07 PM ET,TOR,8,8,PHI,TOR,5.5,6.9,38.3,61.7,-105,-113,Zack Wheeler,Dylan Cease,,,,,,,,,,,
2026-06-09,7:40 PM ET,ATL,9,9,ATL,CWS,8.3,5.1,69.4,30.6,-155,+128,Grant Holmes,Erick Fedde,,,,,,,,,,,
2026-06-09,8:40 PM ET,CHC,8,8,CHC,COL,13.0,8.0,69.4,30.6,-160,+134,Colin Rea,Tomoyuki Sugano,,,,,,,,,,,
2026-06-09,9:38 PM ET,HOU,9,9,HOU,LAA,8.3,5.8,64.3,35.7,-125,+105,Kai-Wei Teng,Walbert Ureña,,,,,,,,,,,
2026-06-09,9:40 PM ET,CIN,8,8,CIN,SD,6.5,4.6,63.8,36.2,-135,+114,Chase Burns,Lucas Giolito,,,,,,,,,,,
2026-06-09,9:45 PM ET,WSH,9,9,WSH,SF,8.4,6.1,62.7,37.3,-110,-110,Andrew Alvarez,Adrian Houser,,,,,,,,,,,
2026-06-10,3:45 PM ET,WSH,8,8,WSH,SF,7.9,6.4,58.0,42.0,-110,-110,Foster Griffin,Robbie Ray,,,,,,,,,,,
2026-06-10,4:10 PM ET,CIN,8,8,CIN,SD,7.2,5.8,58.3,41.7,+139,-166,Brady Singer,Michael King,,,,,,,,,,,
2026-06-10,6:35 PM ET,BAL,9,9,SEA,BAL,8.9,11.1,38.5,61.5,-110,-110,George Kirby,Brandon Young,,,,,,,,,,,
2026-06-10,6:40 PM ET,DET,9,9,MIN,DET,5.5,9.2,26.6,73.4,+145,-174,Mike Paredes,Framber Valdez,,,,,,,,,,,
2026-06-10,7:40 PM ET,ATL,8,8,ATL,CWS,6.8,4.5,66.5,33.5,-155,+129,Chris Sale,Davis Martin,,,,,,,,,,,
2026-06-10,7:40 PM ET,TEX,8,8,TEX,KC,6.8,5.0,62.2,37.8,-120,+101,MacKenzie Gore,Seth Lugo,,,,,,,,,,,
2026-06-10,8:40 PM ET,CHC,10,10,CHC,COL,13.4,5.8,80.7,19.3,-173,+145,Shota Imanaga,Michael Lorenzen,,,,,,,,,,,
2026-06-11,1:10 PM ET,AZ,8,8,AZ,MIA,8.0,6.6,57.2,42.8,-100,-120,Merrill Kelly,Tyler Phillips,,,,,,,,,,,
2026-06-11,1:10 PM ET,MIN,8,8,MIN,DET,7.0,5.5,59.4,40.6,+105,-125,Zebby Matthews,Keider Montero,,,,,,,,,,,
2026-06-11,1:10 PM ET,NYM,9,9,STL,NYM,5.1,7.5,31.6,68.4,+124,-149,Hunter Dobbins,Christian Scott,,,,,,,,,,,
2026-06-11,7:05 PM ET,SEA,10,10,SEA,BAL,7.8,4.2,74.1,25.9,-115,-103,Bryan Woo,Kyle Bradish,,,,,,,,,,,
2026-06-12,10:15 PM ET,CHC,8,8,CHC,SF,9.7,8.0,57.2,42.8,+105,-125,Javier Assad,Landen Roupp,,,,,,,,,,,
2026-06-12,6:45 PM ET,SEA,9,9,SEA,WSH,9.2,5.8,68.4,31.6,-145,+122,Bryce Miller,Zack Littell,,,,,,,,,,,
2026-06-12,7:05 PM ET,BAL,10,10,SD,BAL,5.9,12.7,18.2,81.8,+110,-133,Griffin Canning,Shane Baz,,,,,,,,,,,
2026-06-13,10:05 PM ET,CHC,8,8,CHC,SF,7.0,5.3,61.0,39.0,-117,-103,Ben Brown,Trevor McDonald,,,,,,,,,,,
2026-06-13,4:05 PM ET,MIA,10,10,MIA,PIT,8.7,4.9,72.6,27.4,+100,-117,Lake Bachar,Bubba Chandler,,,,,,,,,,,
2026-06-13,4:05 PM ET,SEA,9,9,SEA,WSH,7.7,5.4,64.2,35.8,-100,-120,Luis Castillo,Cade Cavalli,,,,,,,,,,,
2026-06-13,4:10 PM ET,ATL,9,9,ATL,NYM,7.0,5.1,62.6,37.4,-102,-118,Martín Pérez,Sean Manaea,,,,,,,,,,,
2026-06-13,4:10 PM ET,DET,8,8,DET,CLE,8.9,6.2,64.5,35.5,-138,+115,Tarik Skubal,Joey Cantillo,,,,,,,,,,,
2026-06-13,4:10 PM ET,TEX,9,9,TEX,BOS,7.4,5.3,63.3,36.7,-100,-118,Jacob deGrom,Ranger Suarez,,,,,,,,,,,
2026-06-13,7:10 PM ET,MIL,9,9,PHI,MIL,6.5,11.2,25.5,74.5,+140,-168,Aaron Nola,Shane Drohan,,,,,,,,,,,
2026-06-14,12:15 PM ET,MIA,10,10,MIA,PIT,7.5,4.8,67.9,32.1,+135,-160,Max Meyer,Paul Skenes,,,,,,,,,,,
2026-06-14,1:35 PM ET,SEA,10,10,SEA,WSH,10.4,5.7,73.5,26.5,-142,+120,Emerson Hancock,Miles Mikolas,,,,,,,,,,,
2026-06-14,1:37 PM ET,NYY,8,8,NYY,TOR,8.5,6.4,61.2,38.8,-125,+106,Will Warren,Patrick Corbin,,,,,,,,,,,
